epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9152,1.38502,2.9747,1.39004,0.94215,0.20795,0.47936,0.29024,1.20218,2.48553,1.16662,0.00044299,0.00044299,0.00044299
2,42.4288,1.26543,1.45324,1.30378,0.85612,0.58216,0.56312,0.35218,1.25093,1.58965,1.25864,0.000811143,0.000811143,0.000811143
3,45.7274,1.20392,1.30365,1.23951,0.88337,0.61023,0.67588,0.45083,1.19479,1.57106,1.29904,0.00108876,0.00108876,0.00108876
4,49.0602,1.17565,1.18193,1.22325,0.79778,0.86879,0.89251,0.58703,1.10231,1.03794,1.20853,0.00100459,0.00100459,0.00100459
5,52.4759,1.13936,1.081,1.22043,0.83267,0.86334,0.9055,0.59331,1.09935,1.00411,1.20246,0.000863116,0.000863116,0.000863116
6,55.6971,1.1497,1.05118,1.20022,0.86423,0.88146,0.90628,0.61529,1.0881,0.95221,1.19737,0.000721645,0.000721645,0.000721645
7,58.6627,1.11104,0.99808,1.18072,0.83301,0.91942,0.91466,0.6177,1.06898,0.92947,1.18114,0.000580174,0.000580174,0.000580174
8,61.5779,1.09246,0.9716,1.17989,0.85084,0.9071,0.91884,0.64009,1.06127,0.90036,1.18863,0.000438703,0.000438703,0.000438703
9,64.6505,1.08078,0.96764,1.16151,0.84811,0.92173,0.9157,0.63306,1.03259,0.906,1.16682,0.000297232,0.000297232,0.000297232
10,67.5738,1.06625,0.96097,1.1674,0.8293,0.93945,0.91605,0.63616,1.04231,0.89278,1.17806,0.000155761,0.000155761,0.000155761
